SampleID,Subject,Date,Treatment,Description,Fdate,mdata1,mdata2,mdata3
10288112214,10288,112214,GC,,11/22/14,trx,ts,
10288112314,10288,112314,GC,,11/23/14,trx,ts,
10288112414,10288,112414,GC,,11/24/14,trx,ts,
10288112514,10288,112514,GC,,11/25/14,trx,ts,
10288120114,10288,120114,GC,,12/1/14,trx,ts,
10288120214,10288,120214,GC,,12/2/14,trx,ts,
10288120314,10288,120314,GC,,12/3/14,trx,ts,
10288120414,10288,120414,GC,,12/4/14,trx,ts,
10288120514,10288,120514,GC,,12/5/14,trx,ts,
10288120614,10288,120614,GC,,12/6/14,trx,ts,
10288120714,10288,120714,GC,,12/7/14,trx,ts,
10288120914,10288,120914,GC,,12/9/14,trx,ts,
10288121014,10288,121014,GC,,12/10/14,trx,ts,
10288121114,10288,121114,GC,,12/11/14,trx,ts,
10288121214,10288,121214,GC,,12/12/14,trx,ts,
10288121314,10288,121314,GC,,12/13/14,trx,ts,
10288121514,10288,121514,GC,,12/15/14,trx,ts,
10288121614R1,10288,121614,GC,rep1,12/16/14,trx,ts,
10288121614R2,10288,121614,GC,rep2,12/16/14,trx,ts,
10288121714,10288,121714,GC,,12/17/14,trx,ts,
10288121814,10288,121814,GC,,12/18/14,trx,ts,
10288121914,10288,121914,GC,,12/19/14,trx,ts,
10288122114,10288,122114,GC,,12/21/14,trx,ts,
10299111814,10299,111814,GN,,11/18/14,trx,ts,
10299111914,10299,111914,GN,,11/19/14,trx,ts,
10299112014,10299,112014,GN,,11/20/14,trx,ts,
10299112114,10299,112114,GN,,11/21/14,trx,ts,
10299112214,10299,112214,GN,,11/22/14,trx,ts,
10299112314,10299,112314,GN,,11/23/14,trx,ts,
10299112414,10299,112414,GN,,11/24/14,trx,ts,
10299112514,10299,112514,GN,,11/25/14,trx,ts,
10299120114,10299,120114,GN,,12/1/14,trx,ts,
10299120214,10299,120214,GN,,12/2/14,trx,ts,
10299120314,10299,120314,GN,,12/3/14,trx,ts,
10299120414,10299,120414,GN,,12/4/14,trx,ts,
10299120514,10299,120514,GN,,12/5/14,trx,ts,
10299120614,10299,120614,GN,,12/6/14,trx,ts,
10299120714,10299,120714,GN,,12/7/14,trx,ts,
10299120814,10299,120814,GN,,12/8/14,trx,ts,
10299120914,10299,120914,GN,,12/9/14,trx,ts,
10299121014,10299,121014,GN,,12/10/14,trx,ts,
10299121114,10299,121114,GN,,12/11/14,trx,ts,
10299121214,10299,121214,GN,,12/12/14,trx,ts,
10299121314,10299,121314,GN,,12/13/14,trx,ts,
10299121414,10299,121414,GN,,12/14/14,trx,ts,
10299121514,10299,121514,GN,,12/15/14,trx,ts,
10299121614,10299,121614,GN,,12/16/14,trx,ts,
10299121714,10299,121714,GN,,12/17/14,trx,ts,
10299121814,10299,121814,GN,,12/18/14,trx,ts,
10299121914,10299,121914,GN,,12/19/14,trx,ts,
10299122014,10299,122014,GN,,12/20/14,trx,ts,
10299122114,10299,122114,GN,,12/21/14,trx,ts,
C3111714,C3,111714,GN,baseline,11/17/14,pre,ts,
C4111714,C4,111714,GO,baseline,11/17/14,pre,ts,
C5111714,C5,111714,GC,baseline,11/17/14,pre,ts,
con4,con4,NA,pos,control,NA,,,
LR,LR,NA,pos,control,NA,,,
LR1,LR1,NA,pos,control,NA,,,
mix09,mix09,NA,pos,control,NA,,,
neg0,neg0,NA,neg,control,NA,,,
neg01,neg01,NA,neg,control,NA,,,
neg02,neg02,NA,neg,control,NA,,,
neg03,neg03,NA,neg,control,NA,,,
neg1,neg1,NA,neg,control,NA,,,
neg2,neg2,NA,neg,control,NA,,,
neg5,neg5,NA,neg,control,NA,,,
neg6,neg6,NA,neg,control,NA,,,
neg7,neg7,NA,neg,control,NA,,,
VP,VP,NA,pos,control,NA,,,
VP1,VP1,NA,pos,control,NA,,,
10277021715,10277,21715,GC,,2/17/15,pre,tsl,
10277022015,10277,22015,GC,,2/20/15,trx,tsl,
10277022215,10277,22215,GC,,2/22/15,trx,tsl,
10277022415,10277,22415,GC,,2/24/15,trx,tsl,
10279021715,10279,21715,GN,,2/17/15,pre,tsl,
10279022015,10279,22015,GN,,2/20/15,trx,tsl,
10279022215,10279,22215,GN,,2/22/15,trx,tsl,
10279022415,10279,22415,GN,,2/24/15,trx,tsl,
10280021715,10280,21715,GO,,2/17/15,pre,tsl,
10280022015,10280,22015,GO,,2/20/15,trx,tsl,
10280022215,10280,22215,GO,,2/22/15,trx,tsl,
10280022415,10280,22415,GO,,2/24/15,trx,tsl,
10283021715,10283,21715,GO,,2/17/15,pre,tsl,
10283022015,10283,22015,GO,,2/20/15,trx,tsl,
10283022215,10283,22215,GO,,2/22/15,trx,tsl,
10283022415,10283,22415,GO,,2/24/15,trx,tsl,
10284021715,10284,21715,GN,,2/17/15,pre,tsl,
10284022015,10284,22015,GN,,2/20/15,trx,tsl,
10284022215,10284,22215,GN,,2/22/15,trx,tsl,
10284022415,10284,22415,GN,,2/24/15,trx,tsl,
10287021715,10287,21715,GO,,2/17/15,pre,tsl,
10287022015,10287,22015,GO,,2/20/15,trx,tsl,
10287022215,10287,22215,GO,,2/22/15,trx,tsl,
10287022415,10287,22415,GO,,2/24/15,trx,tsl,
10288021715,10288,21715,GC,,2/17/15,pre,tsl,
10288022015,10288,22015,GC,,2/20/15,trx,tsl,
10288022215,10288,22215,GC,,2/22/15,trx,tsl,
10288022415,10288,22415,GC,,2/24/15,trx,tsl,
10291021715,10291,21715,GC,,2/17/15,pre,tsl,
10291022015,10291,22015,GC,,2/20/15,trx,tsl,
10291022215,10291,22215,GC,,2/22/15,trx,tsl,
10291022415,10291,22415,GC,,2/24/15,trx,tsl,
10299021715,10299,21715,GN,,2/17/15,pre,tsl,
10299022015,10299,22015,GN,,2/20/15,trx,tsl,
10299022215,10299,22215,GN,,2/22/15,trx,tsl,
10299022415,10299,22415,GN,,2/24/15,trx,tsl,
C1.151127,C1,151127,NC,,11/27/15,sw_con,pre,
C1.151201,C1,151201,NC,,12/1/15,sw_con,post,
C1.151213,C1,151213,NC,,12/13/15,sw_con,post,
C1.160114,C1,160114,NC,,1/14/16,sw_con,pre,
C1.160118,C1,160118,NC,,1/18/16,sw_con,post,
C2.151127,C2,151127,NC,,11/27/15,sw_con,pre,
C2.151201,C2,151201,NC,,12/1/15,sw_con,post,
C2.151213,C2,151213,NC,,12/13/15,sw_con,post,
C2.160114,C2,160114,NC,,1/14/16,sw_con,pre,
C2.160118,C2,160118,NC,,1/18/16,sw_con,post,
C3.151127,C3,151127,NC,,11/27/15,sw_con,pre,
C3.151201,C3,151201,NC,,12/1/15,sw_con,post,
C3.160114,C3,160114,NC,,1/14/16,sw_con,pre,
C3.160118,C3,160118,NC,,1/18/16,sw_con,post,
C4.151127,C4,151127,NC,,11/27/15,sw_con,pre,
C4.151201,C4,151201,NC,,12/1/15,sw_con,post,
C4.151213,C4,151213,NC,,12/13/15,sw_con,post,
C4.160114,C4,160114,NC,,1/14/16,sw_con,pre,
C4.160118,C4,160118,NC,,1/18/16,sw_con,post,
C5.151127,C5,151127,NC,,11/27/15,sw_con,pre,
C5.151201,C5,151201,NC,,12/1/15,sw_con,post,
C5.151213,C5,151213,NC,,12/13/15,sw_con,post,
C5.160114,C5,160114,NC,,1/14/16,sw_con,pre,
C5.160118,C5,160118,NC,,1/18/16,sw_con,post,
G1.151127,G1,151127,NC,,11/27/15,sw_con,pre,
G1.151201,G1,151201,NC,,12/1/15,sw_con,post,
G1.151213,G1,151213,NC,,12/13/15,sw_con,post,
G1.160114,G1,160114,NC,,1/14/16,sw_con,pre,
G1.160118,G1,160118,NC,,1/18/16,sw_con,post,
G2.151127,G2,151127,NC,,11/27/15,sw_con,pre,
G2.151201,G2,151201,NC,,12/1/15,sw_con,post,
G2.151213,G2,151213,NC,,12/13/15,sw_con,post,
G2.160114,G2,160114,NC,,1/14/16,sw_con,pre,
G2.160118,G2,160118,NC,,1/18/16,sw_con,post,
G3.151127,G3,151127,NC,,11/27/15,sw_con,pre,
G3.151201,G3,151201,NC,,12/1/15,sw_con,post,
G3.160114,G3,160114,NC,,1/14/16,sw_con,pre,
G3.160118,G3,160118,NC,,1/18/16,sw_con,post,
G4.151127,G4,151127,NC,,11/27/15,sw_con,pre,
G4.151201,G4,151201,NC,,12/1/15,sw_con,post,
G4.151213,G4,151213,NC,,12/13/15,sw_con,post,
G4.160114,G4,160114,NC,,1/14/16,sw_con,pre,
G4.160118,G4,160118,NC,,1/18/16,sw_con,post,
G5.151127,G5,151127,NC,,11/27/15,sw_con,pre,
G5.151201,G5,151201,NC,,12/1/15,sw_con,post,
G5.151213,G5,151213,NC,,12/13/15,sw_con,post,
G5.160114,G5,160114,NC,,1/14/16,sw_con,pre,
G5.160118,G5,160118,NC,,1/18/16,sw_con,post,
M1.151127,M1,151127,NN,,11/27/15,nt_con,untreated,
M1.151201,M1,151201,NN,,12/1/15,nt_con,untreated,
M1.151213,M1,151213,NN,,12/13/15,nt_con,untreated,
M1.160114,M1,160114,NN,,1/14/16,nt_con,untreated,
M1.160118,M1,160118,NN,,1/18/16,nt_con,untreated,
M2.151127,M2,151127,NN,,11/27/15,nt_con,untreated,
M2.151201,M2,151201,NN,,12/1/15,nt_con,untreated,
M2.151213,M2,151213,NN,,12/13/15,nt_con,untreated,
M2.160114,M2,160114,NN,,1/14/16,nt_con,untreated,
M2.160118,M2,160118,NN,,1/18/16,nt_con,untreated,
M3.151127,M3,151127,NN,,11/27/15,nt_con,untreated,
M3.151201,M3,151201,NN,,12/1/15,nt_con,untreated,
M3.160114,M3,160114,NN,,1/14/16,nt_con,untreated,
M3.160118,M3,160118,NN,,1/18/16,nt_con,untreated,
M4.151127,M4,151127,NN,,11/27/15,nt_con,untreated,
M4.151201,M4,151201,NN,,12/1/15,nt_con,untreated,
M4.151213,M4,151213,NN,,12/13/15,nt_con,untreated,
M4.160114,M4,160114,NN,,1/14/16,nt_con,untreated,
M4.160118,M4,160118,NN,,1/18/16,nt_con,untreated,
M5.151127,M5,151127,NN,,11/27/15,nt_con,untreated,
M5.151201,M5,151201,NN,,12/1/15,nt_con,untreated,
M5.151213,M5,151213,NN,,12/13/15,nt_con,untreated,
M5.160114,M5,160114,NN,,1/14/16,nt_con,untreated,
M5.160118,M5,160118,NN,,1/18/16,nt_con,untreated,
V1.151127,V1,151127,NN,,11/27/15,nt_con,untreated,
V1.151201,V1,151201,NN,,12/1/15,nt_con,untreated,
V1.151213,V1,151213,NN,,12/13/15,nt_con,untreated,
V1.160114,V1,160114,NN,,1/14/16,nt_con,untreated,
V1.160118,V1,160118,NN,,1/18/16,nt_con,untreated,
V2.151127,V2,151127,NN,,11/27/15,nt_con,untreated,
V2.151201,V2,151201,NN,,12/1/15,nt_con,untreated,
V2.151213,V2,151213,NN,,12/13/15,nt_con,untreated,
V2.160114,V2,160114,NN,,1/14/16,nt_con,untreated,
V2.160118,V2,160118,NN,,1/18/16,nt_con,untreated,
V3.151127,V3,151127,NN,,11/27/15,nt_con,untreated,
V3.151201,V3,151201,NN,,12/1/15,nt_con,untreated,
V3.160114,V3,160114,NN,,1/14/16,nt_con,untreated,
V3.160118,V3,160118,NN,,1/18/16,nt_con,untreated,
V4.151127,V4,151127,NN,,11/27/15,nt_con,untreated,
V4.151201,V4,151201,NN,,12/1/15,nt_con,untreated,
V4.151213,V4,151213,NN,,12/13/15,nt_con,untreated,
V4.160114,V4,160114,NN,,1/14/16,nt_con,untreated,
V4.160118,V4,160118,NN,,1/18/16,nt_con,untreated,
V5.151127,V5,151127,NN,,11/27/15,nt_con,untreated,
V5.151201,V5,151201,NN,,12/1/15,nt_con,untreated,
V5.151213,V5,151213,NN,,12/13/15,nt_con,untreated,
V5.160114,V5,160114,NN,,1/14/16,nt_con,untreated,
V5.160118,V5,160118,NN,,1/18/16,nt_con,untreated,
10279IgA1,10279,22315,GN,IgA1,2/23/15,trx,iga_hi,
10279IgA2,10279,22315,GN,IgA2,2/23/15,trx,iga_hi,
10279IgA3,10279,22315,GN,IgA3,2/23/15,trx,iga_hi,
10279IgAm1,10279,22315,GN,IgAm1,2/23/15,trx,iga_lo,
10279IgAm2,10279,22315,GN,IgAm2,2/23/15,trx,iga_lo,
10279IgAm3,10279,22315,GN,IgAm3,2/23/15,trx,iga_lo,
10279PS1,10279,22315,GN,PS1,2/23/15,trx,pre_sort,
10279PS2,10279,22315,GN,PS2,2/23/15,trx,pre_sort,
10279PS3,10279,22315,GN,PS3,2/23/15,trx,pre_sort,
10280IgA1,10280,22315,GO,IgA1,2/23/15,trx,iga_hi,
10280IgA2,10280,22315,GO,IgA2,2/23/15,trx,iga_hi,
10280IgA3,10280,22315,GO,IgA3,2/23/15,trx,iga_hi,
10280IgAm1,10280,22315,GO,IgAm1,2/23/15,trx,iga_lo,
10280IgAm2,10280,22315,GO,IgAm2,2/23/15,trx,iga_lo,
10280IgAm3,10280,22315,GO,IgAm3,2/23/15,trx,iga_lo,
10280PS1,10280,22315,GO,PS1,2/23/15,trx,pre_sort,
10280PS2,10280,22315,GO,PS2,2/23/15,trx,pre_sort,
10280PS3,10280,22315,GO,PS3,2/23/15,trx,pre_sort,
10283IgA1,10283,22315,GO,IgA1,2/23/15,trx,iga_hi,
10283IgA2,10283,22315,GO,IgA2,2/23/15,trx,iga_hi,
10283IgA3,10283,22315,GO,IgA3,2/23/15,trx,iga_hi,
10283IgAm1,10283,22315,GO,IgAm1,2/23/15,trx,iga_lo,
10283IgAm2,10283,22315,GO,IgAm2,2/23/15,trx,iga_lo,
10283IgAm3,10283,22315,GO,IgAm3,2/23/15,trx,iga_lo,
10283PS1,10283,22315,GO,PS1,2/23/15,trx,pre_sort,
10283PS2,10283,22315,GO,PS2,2/23/15,trx,pre_sort,
10283PS3,10283,22315,GO,PS3,2/23/15,trx,pre_sort,
10284IgA1,10284,22315,GN,IgA1,2/23/15,trx,iga_hi,
10284IgA2,10284,22315,GN,IgA2,2/23/15,trx,iga_hi,
10284IgA3,10284,22315,GN,IgA3,2/23/15,trx,iga_hi,
10284IgAm1,10284,22315,GN,IgAm1,2/23/15,trx,iga_lo,
10284IgAm2,10284,22315,GN,IgAm2,2/23/15,trx,iga_lo,
10284IgAm3,10284,22315,GN,IgAm3,2/23/15,trx,iga_lo,
10284PS1,10284,22315,GN,PS1,2/23/15,trx,pre_sort,
10284PS2,10284,22315,GN,PS2,2/23/15,trx,pre_sort,
10284PS3,10284,22315,GN,PS3,2/23/15,trx,pre_sort,
10287IgA1,10287,22315,GO,IgA1,2/23/15,trx,iga_hi,
10287IgA2,10287,22315,GO,IgA2,2/23/15,trx,iga_hi,
10287IgA3,10287,22315,GO,IgA3,2/23/15,trx,iga_hi,
10287IgAm1,10287,22315,GO,IgAm1,2/23/15,trx,iga_lo,
10287IgAm2,10287,22315,GO,IgAm2,2/23/15,trx,iga_lo,
10287IgAm3,10287,22315,GO,IgAm3,2/23/15,trx,iga_lo,
10287PS1,10287,22315,GO,PS1,2/23/15,trx,pre_sort,
10287PS2,10287,22315,GO,PS2,2/23/15,trx,pre_sort,
10287PS3,10287,22315,GO,PS3,2/23/15,trx,pre_sort,
10299IgA1,10299,22315,GN,IgA1,2/23/15,trx,iga_hi,
10299IgA2,10299,22315,GN,IgA2,2/23/15,trx,iga_hi,
10299IgA3,10299,22315,GN,IgA3,2/23/15,trx,iga_hi,
10299IgAm1,10299,22315,GN,IgAm1,2/23/15,trx,iga_lo,
10299IgAm2,10299,22315,GN,IgAm2,2/23/15,trx,iga_lo,
10299IgAm3,10299,22315,GN,IgAm3,2/23/15,trx,iga_lo,
10299PS1,10299,22315,GN,PS1,2/23/15,trx,pre_sort,
10299PS2,10299,22315,GN,PS2,2/23/15,trx,pre_sort,
10299PS3,10299,22315,GN,PS3,2/23/15,trx,pre_sort,
